nodeid,first,last
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.03-0.001],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.03-0.01],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.03-0.05],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.03-0.2],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.03-0.4],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.03-0.7],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.03-1.0],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.03-1.5],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.1-0.001],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.1-0.01],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.1-0.05],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.1-0.2],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.1-0.4],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.1-0.7],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.1-1.0],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.1-1.5],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.5-0.001],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.5-0.01],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.5-0.05],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.5-0.2],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.5-0.4],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.5-0.7],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.5-1.0],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.5-1.5],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.9-0.001],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.9-0.01],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.9-0.05],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.9-0.2],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.9-0.4],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.9-0.7],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.9-1.0],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.9-1.5],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.99-0.001],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.99-0.01],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.99-0.05],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.99-0.2],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.99-0.4],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.99-0.7],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.99-1.0],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[0.99-1.5],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[1e-06-0.001],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[1e-06-0.01],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[1e-06-0.05],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[1e-06-0.2],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[1e-06-0.4],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[1e-06-0.7],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[1e-06-1.0],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[1e-06-1.5],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[1e-09-0.001],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[1e-09-0.01],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[1e-09-0.05],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[1e-09-0.2],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[1e-09-0.4],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[1e-09-0.7],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[1e-09-1.0],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[1e-09-1.5],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[1e-16-0.001],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[1e-16-0.01],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[1e-16-0.05],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[1e-16-0.2],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[1e-16-0.4],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[1e-16-0.7],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[1e-16-1.0],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_plain_moments_reproduce_their_defining_integral[1e-16-1.5],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_family_needs_no_counterpart_either[0.05-0.25-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_family_needs_no_counterpart_either[0.05-0.25-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_family_needs_no_counterpart_either[0.05-1.0-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_family_needs_no_counterpart_either[0.05-1.0-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_family_needs_no_counterpart_either[0.05-4.0-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_family_needs_no_counterpart_either[0.05-4.0-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_family_needs_no_counterpart_either[0.4-0.25-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_family_needs_no_counterpart_either[0.4-0.25-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_family_needs_no_counterpart_either[0.4-1.0-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_family_needs_no_counterpart_either[0.4-1.0-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_family_needs_no_counterpart_either[0.4-4.0-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_family_needs_no_counterpart_either[0.4-4.0-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_family_needs_no_counterpart_either[1.0-0.25-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_family_needs_no_counterpart_either[1.0-0.25-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_family_needs_no_counterpart_either[1.0-1.0-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_family_needs_no_counterpart_either[1.0-1.0-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_family_needs_no_counterpart_either[1.0-4.0-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_family_needs_no_counterpart_either[1.0-4.0-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_seed_reproduces_its_defining_integral[0.05-0.0001-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_seed_reproduces_its_defining_integral[0.05-0.0001-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_seed_reproduces_its_defining_integral[0.05-0.01-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_seed_reproduces_its_defining_integral[0.05-0.01-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_seed_reproduces_its_defining_integral[0.05-0.25-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_seed_reproduces_its_defining_integral[0.05-0.25-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_seed_reproduces_its_defining_integral[0.05-1.0-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_seed_reproduces_its_defining_integral[0.05-1.0-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_seed_reproduces_its_defining_integral[0.05-10000.0-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_seed_reproduces_its_defining_integral[0.05-10000.0-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_seed_reproduces_its_defining_integral[0.05-4.0-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_seed_reproduces_its_defining_integral[0.05-4.0-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_seed_reproduces_its_defining_integral[0.4-0.0001-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_seed_reproduces_its_defining_integral[0.4-0.0001-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_seed_reproduces_its_defining_integral[0.4-0.01-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_seed_reproduces_its_defining_integral[0.4-0.01-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_seed_reproduces_its_defining_integral[0.4-0.25-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_seed_reproduces_its_defining_integral[0.4-0.25-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_seed_reproduces_its_defining_integral[0.4-1.0-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_seed_reproduces_its_defining_integral[0.4-1.0-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_seed_reproduces_its_defining_integral[0.4-10000.0-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_seed_reproduces_its_defining_integral[0.4-10000.0-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_seed_reproduces_its_defining_integral[0.4-4.0-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_seed_reproduces_its_defining_integral[0.4-4.0-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_seed_reproduces_its_defining_integral[1.0-0.0001-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_seed_reproduces_its_defining_integral[1.0-0.0001-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_seed_reproduces_its_defining_integral[1.0-0.01-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_seed_reproduces_its_defining_integral[1.0-0.01-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_seed_reproduces_its_defining_integral[1.0-0.25-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_seed_reproduces_its_defining_integral[1.0-0.25-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_seed_reproduces_its_defining_integral[1.0-1.0-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_seed_reproduces_its_defining_integral[1.0-1.0-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_seed_reproduces_its_defining_integral[1.0-10000.0-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_seed_reproduces_its_defining_integral[1.0-10000.0-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_seed_reproduces_its_defining_integral[1.0-4.0-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_pole_seed_reproduces_its_defining_integral[1.0-4.0-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_family[0.001],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_family[0.003],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_family[0.006],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_family[0.01],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_family[0.03],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_family[0.1],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_family[0.5],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_family[0.99],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_family[0.9],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_family[1e-06],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_family[1e-09],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_family[1e-16],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_seed[0.001-0.0001-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_seed[0.001-0.0001-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_seed[0.001-0.25-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_seed[0.001-0.25-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_seed[0.001-100000000.0-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_seed[0.001-100000000.0-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_seed[0.001-1e-12-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_seed[0.001-1e-12-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_seed[0.001-4.0-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_seed[0.001-4.0-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_seed[0.9-0.0001-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_seed[0.9-0.0001-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_seed[0.9-0.25-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_seed[0.9-0.25-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_seed[0.9-100000000.0-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_seed[0.9-100000000.0-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_seed[0.9-1e-12-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_seed[0.9-1e-12-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_seed[0.9-4.0-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_seed[0.9-4.0-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_seed[1e-09-0.0001-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_seed[1e-09-0.0001-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_seed[1e-09-0.25-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_seed[1e-09-0.25-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_seed[1e-09-100000000.0-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_seed[1e-09-100000000.0-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_seed[1e-09-1e-12-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_seed[1e-09-1e-12-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_seed[1e-09-4.0-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_seed[1e-09-4.0-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_seed[1e-16-0.0001-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_seed[1e-16-0.0001-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_seed[1e-16-0.25-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_seed[1e-16-0.25-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_seed[1e-16-100000000.0-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_seed[1e-16-100000000.0-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_seed[1e-16-1e-12-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_seed[1e-16-1e-12-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_seed[1e-16-4.0-False],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_quarter_turn_reproduces_the_complete_seed[1e-16-4.0-True],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_reference_rule_has_converged,not_run,unobserved
tests/test_biotincompletemoments.py::test_the_root_moments_need_no_counterpart[0.01-0.05],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_root_moments_need_no_counterpart[0.01-0.4],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_root_moments_need_no_counterpart[0.01-1.0],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_root_moments_need_no_counterpart[0.9-0.05],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_root_moments_need_no_counterpart[0.9-0.4],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_root_moments_need_no_counterpart[0.9-1.0],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_root_moments_need_no_counterpart[1e-09-0.05],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_root_moments_need_no_counterpart[1e-09-0.4],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_root_moments_need_no_counterpart[1e-09-1.0],not_run,unobserved
tests/test_biotincompletemoments.py::test_the_seed_carries_the_family_where_quadrature_cannot,not_run,unobserved
tests/test_biotincompletemoments.py::test_the_source_term_is_what_the_partial_range_adds,not_run,unobserved
tests/test_biotincompletemoments.py::test_the_switch_between_the_two_directions_is_needed_from_both_sides,not_run,unobserved
tests/test_biotincompletemoments.py::test_the_traced_path_is_the_same_code_and_agrees_to_a_few_ulp,not_run,unobserved
tests/test_biotmatrix.py::test_coord_loc,not_run,unobserved
tests/test_biotmatrix.py::test_coordinate_axes_einsum_shape,not_run,unobserved
tests/test_biotmatrix.py::test_coordinate_axes_shape,not_run,unobserved
tests/test_biotmatrix.py::test_finite_arcs_never_dispatch_through_the_ring_backend,not_run,unobserved
tests/test_biotmatrix.py::test_local_frame_roundtrip[source],not_run,unobserved
tests/test_biotmatrix.py::test_local_frame_roundtrip[target],not_run,unobserved
tests/test_biotmatrix.py::test_multiple_physical_plasma_targets_fail_before_turn_updates,not_run,unobserved
tests/test_biotmatrix.py::test_solve_applies_nonunit_links_across_the_chunk_boundary[False],not_run,unobserved
tests/test_biotmatrix.py::test_solve_applies_nonunit_links_across_the_chunk_boundary[True],not_run,unobserved
tests/test_biotmatrix.py::test_solve_applies_nonunit_links_after_route_batching[False],not_run,unobserved
tests/test_biotmatrix.py::test_solve_applies_nonunit_links_after_route_batching[True],not_run,unobserved
tests/test_biotmatrix.py::test_solve_batches_have_a_hard_source_limit[1001-batch_sizes3],not_run,unobserved
tests/test_biotmatrix.py::test_solve_batches_have_a_hard_source_limit[499-batch_sizes0],not_run,unobserved
tests/test_biotmatrix.py::test_solve_batches_have_a_hard_source_limit[500-batch_sizes1],not_run,unobserved
tests/test_biotmatrix.py::test_solve_batches_have_a_hard_source_limit[501-batch_sizes2],not_run,unobserved
tests/test_biotmatrix.py::test_solve_linked_cancellation_survives_batch_order[False],not_run,unobserved
tests/test_biotmatrix.py::test_solve_linked_cancellation_survives_batch_order[True],not_run,unobserved
tests/test_biotmatrix.py::test_solve_policy_and_plasma_lanes_are_batch_distinct,not_run,unobserved
tests/test_biotmatrix.py::test_source_coordinates_roundtrip,not_run,unobserved
tests/test_biotmatrix.py::test_stack_shape,not_run,unobserved
tests/test_biotoperate.py::test_ellippinc_amplitude_below_quarter_turn,not_run,unobserved
tests/test_biotoperate.py::test_ellippinc_amplitude_pair_matches_the_angle,not_run,unobserved
tests/test_biotoperate.py::test_ellippinc_first_kind_limit[0.0],not_run,unobserved
tests/test_biotoperate.py::test_ellippinc_first_kind_limit[0.4],not_run,unobserved
tests/test_biotoperate.py::test_ellippinc_first_kind_limit[0.9],not_run,unobserved
tests/test_biotoperate.py::test_ellippinc_half_turn_quasi_periodicity,not_run,unobserved
tests/test_biotoperate.py::test_ellippinc_reduces_across_the_quarter_turn,not_run,unobserved
tests/test_biotoperate.py::test_ellippinc_zero_modulus_closed_form[-0.7],not_run,unobserved
tests/test_biotoperate.py::test_ellippinc_zero_modulus_closed_form[0.3],not_run,unobserved
tests/test_biotoperate.py::test_ellippinc_zero_modulus_closed_form[0.9],not_run,unobserved
tests/test_biotoperate.py::test_force_keeps_the_physical_poly_target_and_dcoil_cells,not_run,unobserved
tests/test_biotoperate.py::test_grid_shape,not_run,unobserved
tests/test_biotoperate.py::test_grid_shaped_array,not_run,unobserved
tests/test_biotoperate.py::test_grid_shaped_array_address,not_run,unobserved
tests/test_biotoperate.py::test_grid_solve_finite_section_winding,not_run,unobserved
