nodeid,first,last
tests/test_mast_array_amplitude.py::test_a_bracket_narrows_onto_the_pair_the_amplitude_crossed_at,not_run,unobserved
tests/test_mast_array_amplitude.py::test_a_bracket_the_array_route_cannot_resolve_stays_exactly_as_wide,not_run,unobserved
tests/test_mast_array_amplitude.py::test_a_channel_too_quiet_to_measure_is_left_out_rather_than_given_a_ratio,not_run,unobserved
tests/test_mast_array_amplitude.py::test_a_doubled_channel_reads_twice_the_array,not_run,unobserved
tests/test_mast_array_amplitude.py::test_a_minority_stepping_together_barely_moves_the_reference,not_run,unobserved
tests/test_mast_array_amplitude.py::test_a_shot_recording_too_few_channels_yields_nothing,not_run,unobserved
tests/test_mast_array_amplitude.py::test_a_standing_offset_is_removed_before_the_amplitude_is_taken,not_run,unobserved
tests/test_mast_array_amplitude.py::test_driving_the_shot_harder_leaves_every_ratio_alone,not_run,unobserved
tests/test_mast_array_amplitude.py::test_narrowing_cannot_reach_outside_the_fitted_bracket,not_run,unobserved
tests/test_mast_array_amplitude.py::test_only_the_shots_both_routes_read_enter_the_comparison,not_run,unobserved
tests/test_mast_array_amplitude.py::test_the_crossing_must_run_the_way_the_fitted_rungs_did,not_run,unobserved
tests/test_mast_array_amplitude.py::test_the_narrowing_summary_reports_what_it_tightened,not_run,unobserved
tests/test_mast_array_amplitude.py::test_the_summary_separates_reproduced_steps_from_reproduced_steadiness,not_run,unobserved
tests/test_mast_array_amplitude.py::test_the_two_routes_agree_when_they_place_the_same_boundary,not_run,unobserved
tests/test_mast_artifact.py::test_a_drive_weight_cannot_outrun_its_provenance,not_run,unobserved
tests/test_mast_artifact.py::test_channel_drives_survive_the_manifest_round_trip,not_run,unobserved
tests/test_mast_artifact.py::test_complete_artifact_cannot_carry_an_unresolved_field,not_run,unobserved
tests/test_mast_artifact.py::test_complete_artifact_is_operator_ready,not_run,unobserved
tests/test_mast_artifact.py::test_completeness_is_consistent_with_gaps_and_missing_evidence,not_run,unobserved
tests/test_mast_artifact.py::test_concurrent_materializers_share_verified_winner,not_run,unobserved
tests/test_mast_artifact.py::test_drive_semantics_move_the_semantic_identity,not_run,unobserved
tests/test_mast_artifact.py::test_existing_empty_destination_is_not_overwritten,not_run,unobserved
tests/test_mast_artifact.py::test_field_evidence_must_stay_inside_the_artifact_shot_extent,not_run,unobserved
tests/test_mast_artifact.py::test_field_evidence_survives_the_manifest_round_trip,not_run,unobserved
tests/test_mast_artifact.py::test_file_size_mismatch_is_reported_before_checksum,not_run,unobserved
tests/test_mast_artifact.py::test_filesystem_without_atomic_publication_is_named,not_run,unobserved
tests/test_mast_artifact.py::test_incomplete_artifact_can_be_stored_but_not_operator_ready,not_run,unobserved
tests/test_mast_artifact.py::test_malformed_hashes_and_unsafe_source_entries_are_rejected,not_run,unobserved
tests/test_mast_artifact.py::test_manifest_bytes_and_digest_are_deterministic,not_run,unobserved
tests/test_mast_artifact.py::test_manifest_rejects_casefold_colliding_directories,not_run,unobserved
tests/test_mast_artifact.py::test_manifest_rejects_casefold_colliding_names,not_run,unobserved
tests/test_mast_artifact.py::test_manifest_rejects_conflicting_evidence_for_one_field,not_run,unobserved
tests/test_mast_artifact.py::test_manifest_rejects_duplicate_files,not_run,unobserved
tests/test_mast_artifact.py::test_manifest_rejects_nonportable_names[../escape.h5],not_run,unobserved
tests/test_mast_artifact.py::test_manifest_rejects_nonportable_names[.],not_run,unobserved
tests/test_mast_artifact.py::test_manifest_rejects_nonportable_names[/absolute.h5],not_run,unobserved
tests/test_mast_artifact.py::test_manifest_rejects_nonportable_names[C:/escape.h5],not_run,unobserved
tests/test_mast_artifact.py::test_manifest_rejects_nonportable_names[CON],not_run,unobserved
tests/test_mast_artifact.py::test_manifest_rejects_nonportable_names[MANIFEST.JSON],not_run,unobserved
tests/test_mast_artifact.py::test_manifest_rejects_nonportable_names[\\\\server\\share\\escape.h5],not_run,unobserved
tests/test_mast_artifact.py::test_manifest_rejects_nonportable_names[],not_run,unobserved
tests/test_mast_artifact.py::test_manifest_rejects_nonportable_names[ids/../escape.h5],not_run,unobserved
tests/test_mast_artifact.py::test_manifest_rejects_nonportable_names[ids/./escape.h5],not_run,unobserved
tests/test_mast_artifact.py::test_manifest_rejects_nonportable_names[ids//escape.h5],not_run,unobserved
tests/test_mast_artifact.py::test_manifest_rejects_nonportable_names[ids/COM1.h5],not_run,unobserved
tests/test_mast_artifact.py::test_manifest_rejects_nonportable_names[ids/aux.txt],not_run,unobserved
tests/test_mast_artifact.py::test_manifest_rejects_nonportable_names[ids/greater>than.h5],not_run,unobserved
tests/test_mast_artifact.py::test_manifest_rejects_nonportable_names[ids/less<than.h5],not_run,unobserved
tests/test_mast_artifact.py::test_manifest_rejects_nonportable_names[ids/lpt9],not_run,unobserved
tests/test_mast_artifact.py::test_manifest_rejects_nonportable_names[ids/non_ascii_\xe9.h5],not_run,unobserved
tests/test_mast_artifact.py::test_manifest_rejects_nonportable_names[ids/pipe|name.h5],not_run,unobserved
tests/test_mast_artifact.py::test_manifest_rejects_nonportable_names[ids/question?.h5],not_run,unobserved
"tests/test_mast_artifact.py::test_manifest_rejects_nonportable_names[ids/quote""name.h5]",not_run,unobserved
tests/test_mast_artifact.py::test_manifest_rejects_nonportable_names[ids/star*.h5],not_run,unobserved
tests/test_mast_artifact.py::test_manifest_rejects_nonportable_names[ids/trailing ],not_run,unobserved
tests/test_mast_artifact.py::test_manifest_rejects_nonportable_names[ids/trailing.],not_run,unobserved
tests/test_mast_artifact.py::test_manifest_rejects_nonportable_names[ids\\escape.h5],not_run,unobserved
tests/test_mast_artifact.py::test_materialize_and_resolve_round_trip,not_run,unobserved
tests/test_mast_artifact.py::test_object_root_path_swap_cannot_redirect_materialization,not_run,unobserved
tests/test_mast_artifact.py::test_oci_reference_and_media_types_are_explicit,not_run,unobserved
tests/test_mast_artifact.py::test_repeated_materialization_is_idempotent,not_run,unobserved
tests/test_mast_artifact.py::test_resolver_rejects_file_set_and_content_changes[missing],not_run,unobserved
tests/test_mast_artifact.py::test_resolver_rejects_file_set_and_content_changes[tamper],not_run,unobserved
tests/test_mast_artifact.py::test_resolver_rejects_file_set_and_content_changes[unexpected],not_run,unobserved
tests/test_mast_artifact.py::test_resolver_rejects_identity_change_inside_manifest,not_run,unobserved
tests/test_mast_artifact.py::test_resolver_rejects_manifest_identity_mismatch,not_run,unobserved
tests/test_mast_artifact.py::test_resolver_rejects_noncanonical_manifest_bytes,not_run,unobserved
tests/test_mast_artifact.py::test_resolver_rejects_symlinked_manifest,not_run,unobserved
tests/test_mast_artifact.py::test_resolver_rejects_symlinked_payload,not_run,unobserved
tests/test_mast_artifact.py::test_semantic_identity_changes_with_authored_semantics,not_run,unobserved
tests/test_mast_artifact.py::test_semantic_identity_is_stable_across_container_rewrites,not_run,unobserved
tests/test_mast_artifact.py::test_source_inventory_rejects_casefold_collisions,not_run,unobserved
tests/test_mast_artifact.py::test_stale_temporary_directory_does_not_block_materialization,not_run,unobserved
tests/test_mast_artifact.py::test_symlinked_digest_destination_is_rejected_without_outside_writes,not_run,unobserved
tests/test_mast_artifact.py::test_symlinked_object_root_is_rejected_without_outside_writes,not_run,unobserved
tests/test_mast_block_scale.py::test_a_block_resting_on_no_shot_is_refused,not_run,unobserved
tests/test_mast_block_scale.py::test_a_bracket_is_pinned_when_no_readable_shot_lies_inside_it,not_run,unobserved
tests/test_mast_block_scale.py::test_a_bracket_reports_its_own_width_rather_than_a_boundary_shot,not_run,unobserved
tests/test_mast_block_scale.py::test_a_channel_the_table_never_measured_reads_unmeasured,not_run,unobserved
tests/test_mast_block_scale.py::test_a_factor_of_two_step_divides_by_exactly_two_not_by_the_ratio,not_run,unobserved
tests/test_mast_block_scale.py::test_a_fully_pinned_table_asks_for_no_further_shot,not_run,unobserved
tests/test_mast_block_scale.py::test_a_probe_already_read_is_not_offered_again,not_run,unobserved
tests/test_mast_block_scale.py::test_a_refusal_and_an_applied_unity_differ_only_in_the_disposition,not_run,unobserved
tests/test_mast_block_scale.py::test_a_refused_block_reads_the_channel_exactly_as_published,not_run,unobserved
tests/test_mast_block_scale.py::test_a_shot_between_two_blocks_is_unmeasured_and_carries_both_candidates,not_run,unobserved
tests/test_mast_block_scale.py::test_a_shot_in_a_gap_inside_one_block_is_bracketed_not_measured,not_run,unobserved
tests/test_mast_block_scale.py::test_a_shot_outside_the_measured_span_is_unmeasured,not_run,unobserved
tests/test_mast_block_scale.py::test_a_shot_the_block_was_measured_on_reads_measured,not_run,unobserved
tests/test_mast_block_scale.py::test_a_step_that_misses_every_rung_is_refused_not_rounded_on,not_run,unobserved
tests/test_mast_block_scale.py::test_a_table_round_trips_through_its_json_representation,not_run,unobserved
tests/test_mast_block_scale.py::test_a_zero_rung_is_refused_because_it_would_erase_the_signal,not_run,unobserved
tests/test_mast_block_scale.py::test_an_empty_table_is_the_raw_archive,not_run,unobserved
tests/test_mast_block_scale.py::test_an_unmeasured_channel_passes_through_untouched_beside_a_scaled_one,not_run,unobserved
tests/test_mast_block_scale.py::test_normalising_a_doubled_block_halves_the_samples,not_run,unobserved
tests/test_mast_block_scale.py::test_overlapping_blocks_are_refused_because_a_shot_would_have_two_settings,not_run,unobserved
tests/test_mast_block_scale.py::test_the_next_probe_bisects_the_widest_open_bracket,not_run,unobserved
tests/test_mast_block_scale.py::test_the_pinning_summary_counts_switches_and_their_widest_bracket,not_run,unobserved
tests/test_mast_block_scale.py::test_the_reference_block_is_the_one_reading_nearest_the_described_field,not_run,unobserved
tests/test_mast_block_scale_read_path.py::test_an_empty_table_keeps_the_vacuum_reader_on_the_raw_archive,not_run,unobserved
tests/test_mast_block_scale_read_path.py::test_the_correction_survives_the_window_tests_the_reader_applies,not_run,unobserved
tests/test_mast_block_scale_read_path.py::test_the_screen_reader_serves_field_rather_than_range,not_run,unobserved
tests/test_mast_block_scale_read_path.py::test_the_screen_reader_stays_raw_on_an_empty_table,not_run,unobserved
tests/test_mast_block_scale_read_path.py::test_the_vacuum_reader_divides_the_doubled_channel_and_leaves_the_other,not_run,unobserved
tests/test_mast_block_scale_read_path.py::test_the_vacuum_reader_reports_what_it_divided_and_what_it_did_not,not_run,unobserved
tests/test_mast_calibration_cohort.py::test_a_channel_with_too_few_samples_reports_no_floor,not_run,unobserved
tests/test_mast_calibration_cohort.py::test_a_cohort_that_holds_nothing_back_is_refused,not_run,unobserved
tests/test_mast_calibration_cohort.py::test_a_family_floor_pools_only_its_own_channels,not_run,unobserved
tests/test_mast_calibration_cohort.py::test_a_fit_cannot_run_against_a_split_nobody_wrote_down,not_run,unobserved
tests/test_mast_calibration_cohort.py::test_a_genuinely_varying_ratio_is_not_promoted,not_run,unobserved
tests/test_mast_calibration_cohort.py::test_a_half_scale_shot_is_refused_rather_than_fitted,not_run,unobserved
tests/test_mast_calibration_cohort.py::test_a_lockstep_pair_measures_only_its_sum,not_run,unobserved
tests/test_mast_calibration_cohort.py::test_a_missing_store_group_is_unreadable_rather_than_empty,not_run,unobserved
tests/test_mast_calibration_cohort.py::test_a_noise_shot_never_also_fits_a_turn_count,not_run,unobserved
tests/test_mast_calibration_cohort.py::test_a_pair_with_contrast_separates_its_members,not_run,unobserved
tests/test_mast_calibration_cohort.py::test_a_plasma_shot_is_not_a_vacuum_experiment,not_run,unobserved
tests/test_mast_calibration_cohort.py::test_a_pulsed_shot_cannot_measure_a_turn_count,not_run,unobserved
tests/test_mast_calibration_cohort.py::test_a_shot_below_the_excitation_floor_is_quiescent,not_run,unobserved
tests/test_mast_calibration_cohort.py::test_a_shot_driving_no_published_coil_is_refused_not_scored,not_run,unobserved
tests/test_mast_calibration_cohort.py::test_a_shot_matching_its_published_turns_reads_unit_amplitude,not_run,unobserved
tests/test_mast_calibration_cohort.py::test_a_shot_with_no_error_field_reading_never_claims_one,not_run,unobserved
tests/test_mast_calibration_cohort.py::test_a_sustained_lone_coil_measures_its_own_turns,not_run,unobserved
tests/test_mast_calibration_cohort.py::test_a_uniform_amplitude_leaves_the_field_shape_untouched,not_run,unobserved
tests/test_mast_calibration_cohort.py::test_an_amplitude_refused_shot_never_enters_a_repeat,not_run,unobserved
tests/test_mast_calibration_cohort.py::test_an_empty_envelope_is_refused,not_run,unobserved
tests/test_mast_calibration_cohort.py::test_class_counts_cover_every_classed_shot,not_run,unobserved
tests/test_mast_calibration_cohort.py::test_float_noise_does_not_split_a_published_ratio,not_run,unobserved
tests/test_mast_calibration_cohort.py::test_identifiability_separates_alone_from_sum_only_from_unreachable,not_run,unobserved
tests/test_mast_calibration_cohort.py::test_repeat_scatter_divides_out_the_supply_and_keeps_the_rest,not_run,unobserved
tests/test_mast_calibration_cohort.py::test_repeat_scatter_needs_two_readable_shots,not_run,unobserved
tests/test_mast_calibration_cohort.py::test_repeats_group_by_coil_and_current,not_run,unobserved
tests/test_mast_calibration_cohort.py::test_the_admissible_interval_admits_neither_a_half_nor_a_double,not_run,unobserved
tests/test_mast_calibration_cohort.py::test_the_cohort_record_states_its_classes_and_published_ratios,not_run,unobserved
tests/test_mast_calibration_cohort.py::test_the_floor_is_the_scatter_and_not_the_drift,not_run,unobserved
tests/test_mast_calibration_cohort.py::test_the_pooled_floor_is_a_quadratic_mean,not_run,unobserved
tests/test_mast_calibration_cohort.py::test_the_split_holds_out_shots_from_every_measurable_coil,not_run,unobserved
tests/test_mast_calibration_cohort.py::test_the_tolerance_sits_far_below_a_neighbouring_integer,not_run,unobserved
tests/test_mast_calibration_cohort.py::test_the_toroidal_field_alone_measures_the_sensors,not_run,unobserved
tests/test_mast_calibration_cohort.py::test_two_shots_a_campaign_apart_are_not_one_repetition,not_run,unobserved
tests/test_mast_catalog_geometry.py::test_active_outline_ignores_cell_subdivision,not_run,unobserved
tests/test_mast_catalog_geometry.py::test_catalog_scan_resumes_from_atomic_fingerprint_checkpoint,not_run,unobserved
tests/test_mast_catalog_geometry.py::test_closed_path_ignores_start_and_direction,not_run,unobserved
tests/test_mast_catalog_geometry.py::test_coil_case_plates_enclose_the_windings_they_surround,not_run,unobserved
tests/test_mast_catalog_geometry.py::test_outboard_radial_probes_measure_the_radial_component,not_run,unobserved
tests/test_mast_catalog_geometry.py::test_packaged_registry_identity_is_pinned_by_value,not_run,unobserved
tests/test_mast_catalog_geometry.py::test_partial_passive_store_is_missing_evidence,not_run,unobserved
tests/test_mast_catalog_geometry.py::test_passive_union_ignores_element_subdivision,not_run,unobserved
tests/test_mast_catalog_geometry.py::test_physical_identity_changes_with_supported_geometry_and_pose,not_run,unobserved
tests/test_mast_catalog_geometry.py::test_ranges_ignore_missing_shots_but_split_real_changes,not_run,unobserved
tests/test_mast_catalog_geometry.py::test_real_catalog_setup_variants_share_physical_source,not_run,unobserved
tests/test_mast_catalog_geometry.py::test_registry_angles_are_canonical_radians,not_run,unobserved
tests/test_mast_catalog_geometry.py::test_registry_contains_all_census_source_gaps,not_run,unobserved
tests/test_mast_catalog_geometry.py::test_registry_pins_catalog_degree_conversions,not_run,unobserved
tests/test_mast_catalog_geometry.py::test_registry_records_the_identity_it_replaced,not_run,unobserved
tests/test_mast_catalog_geometry.py::test_registry_resolves_aliases_to_one_physical_configuration,not_run,unobserved
tests/test_mast_catalog_geometry.py::test_registry_shot_lookup_separates_evidence_from_identity,not_run,unobserved
tests/test_mast_catalog_geometry.py::test_unsupported_semantics_are_explicit_authoring_gaps,not_run,unobserved
tests/test_mast_channel_drive.py::test_a_campaigns_channel_set_selects_its_own_drives,not_run,unobserved
tests/test_mast_channel_drive.py::test_a_case_group_with_no_channel_is_left_undriven,not_run,unobserved
tests/test_mast_channel_drive.py::test_a_conductor_channel_drives_the_authored_turn_count,not_run,unobserved
tests/test_mast_channel_drive.py::test_a_drive_map_round_trips_through_canonical_json,not_run,unobserved
tests/test_mast_channel_drive.py::test_a_fitted_weight_must_bound_itself,not_run,unobserved
tests/test_mast_channel_drive.py::test_a_multi_plate_group_splits_by_section_area,not_run,unobserved
tests/test_mast_channel_drive.py::test_a_zero_weight_is_not_a_drive,not_run,unobserved
tests/test_mast_channel_drive.py::test_an_ampere_turn_channel_drives_one_turn,not_run,unobserved
tests/test_mast_channel_drive.py::test_an_unresolved_drive_is_an_absent_drive,not_run,unobserved
tests/test_mast_channel_drive.py::test_every_driven_conductor_is_reachable,not_run,unobserved
tests/test_mast_channel_drive.py::test_every_weight_cites_a_record_the_ledger_carries,not_run,unobserved
tests/test_mast_channel_drive.py::test_one_channel_cannot_carry_two_weights,not_run,unobserved
tests/test_mast_channel_drive.py::test_the_channel_ratio_and_the_turn_count_stay_one_number,not_run,unobserved
tests/test_mast_channel_drive.py::test_the_measured_case_currents_reach_their_own_plates,not_run,unobserved
tests/test_mast_channel_drive.py::test_the_plate_assignment_agrees_with_the_published_grouping,not_run,unobserved
tests/test_mast_channel_drive.py::test_the_records_stay_inside_the_machines_the_sources_describe,not_run,unobserved
tests/test_mast_channel_drive.py::test_the_solenoid_drives_half_its_turns,not_run,unobserved
tests/test_mast_channel_drive.py::test_the_sourced_circuit_junctions_are_authored,not_run,unobserved
tests/test_mast_channel_drive.py::test_the_two_channel_weights_of_one_coil_differ_by_the_archive_ratio,not_run,unobserved
tests/test_mast_channel_drive.py::test_the_unidentified_coils_are_still_drivable,not_run,unobserved
tests/test_mast_channel_drive.py::test_the_unsourced_circuit_topologies_stay_unset,not_run,unobserved
tests/test_mast_error_field_screen.py::test_a_campaign_that_never_recorded_these_channels_is_refused_wholesale,not_run,unobserved
tests/test_mast_error_field_screen.py::test_a_channel_below_the_excitation_floor_drove_nothing,not_run,unobserved
tests/test_mast_error_field_screen.py::test_a_channel_correlating_with_an_error_field_coil_is_not_a_monitor,not_run,unobserved
tests/test_mast_error_field_screen.py::test_a_channel_the_excitation_never_reaches_has_no_limit,not_run,unobserved
tests/test_mast_error_field_screen.py::test_a_channel_without_a_measured_floor_cannot_be_screened,not_run,unobserved
tests/test_mast_error_field_screen.py::test_a_driven_shot_with_no_close_partner_yields_no_pair,not_run,unobserved
tests/test_mast_error_field_screen.py::test_a_monitor_on_an_axisymmetric_supply_is_identified_by_measurement,not_run,unobserved
tests/test_mast_error_field_screen.py::test_a_pair_is_matched_on_currents_and_not_on_a_family_label,not_run,unobserved
tests/test_mast_error_field_screen.py::test_a_pair_serializes_with_its_own_bound_on_the_cancellation,not_run,unobserved
tests/test_mast_error_field_screen.py::test_a_partner_driving_a_coil_the_other_did_not_is_refused,not_run,unobserved
tests/test_mast_error_field_screen.py::test_a_quiescent_shot_loses_nothing,not_run,unobserved
tests/test_mast_error_field_screen.py::test_a_recorded_and_quiet_shot_is_distinguished_from_an_unrecorded_one,not_run,unobserved
tests/test_mast_error_field_screen.py::test_a_response_far_above_its_neighbours_is_not_a_field,not_run,unobserved
tests/test_mast_error_field_screen.py::test_a_shot_nobody_screened_is_not_a_shot_that_passed,not_run,unobserved
tests/test_mast_error_field_screen.py::test_a_shot_recorded_at_zero_yields_no_slope_rather_than_an_error,not_run,unobserved
tests/test_mast_error_field_screen.py::test_a_shot_whose_partner_also_drove_the_error_field_is_not_a_partner,not_run,unobserved
tests/test_mast_error_field_screen.py::test_a_shot_with_no_such_channel_cannot_be_regressed_on,not_run,unobserved
tests/test_mast_error_field_screen.py::test_an_unmeasured_coupling_does_not_set_a_threshold,not_run,unobserved
tests/test_mast_error_field_screen.py::test_both_naming_schemes_are_screened,not_run,unobserved
tests/test_mast_error_field_screen.py::test_each_driven_shot_keeps_only_its_closest_partner,not_run,unobserved
tests/test_mast_error_field_screen.py::test_the_median_over_shots_is_what_sets_a_threshold,not_run,unobserved
tests/test_mast_error_field_screen.py::test_the_screen_record_round_trips_through_json,not_run,unobserved
tests/test_mast_error_field_screen.py::test_the_screen_removes_a_channel_and_keeps_the_shot,not_run,unobserved
tests/test_mast_error_field_screen.py::test_the_slope_is_measured_against_a_zero_taken_while_the_coil_was_off,not_run,unobserved
tests/test_mast_error_field_screen.py::test_the_strictest_measured_limit_is_the_one_applied,not_run,unobserved
tests/test_mast_error_field_screen.py::test_the_threshold_is_the_current_that_reaches_the_channels_own_floor,not_run,unobserved
tests/test_mast_error_field_screen.py::test_too_few_shots_cannot_identify_a_monitor,not_run,unobserved
tests/test_mast_evidence.py::test_a_resolved_field_cannot_keep_candidates_open,not_run,unobserved
tests/test_mast_evidence.py::test_candidates_are_canonically_ordered,not_run,unobserved
tests/test_mast_evidence.py::test_citation_must_be_followable,not_run,unobserved
tests/test_mast_evidence.py::test_decoder_rejects_unknown_states_and_malformed_rows,not_run,unobserved
tests/test_mast_evidence.py::test_derived_fields_must_bound_the_value_and_state_assumptions[fitted],not_run,unobserved
tests/test_mast_evidence.py::test_derived_fields_must_bound_the_value_and_state_assumptions[generated],not_run,unobserved
tests/test_mast_evidence.py::test_interval_must_be_ordered_finite_and_carry_a_unit,not_run,unobserved
tests/test_mast_evidence.py::test_ledger_accepts_one_field_changing_state_between_shot_ranges,not_run,unobserved
tests/test_mast_evidence.py::test_ledger_ordering_and_digest_are_independent_of_input_order,not_run,unobserved
tests/test_mast_evidence.py::test_ledger_rejects_two_states_for_one_field_over_the_same_shots,not_run,unobserved
tests/test_mast_evidence.py::test_ledger_round_trips_through_canonical_json,not_run,unobserved
tests/test_mast_evidence.py::test_measured_and_published_fields_must_cite_a_source[measured],not_run,unobserved
tests/test_mast_evidence.py::test_measured_and_published_fields_must_cite_a_source[published],not_run,unobserved
tests/test_mast_evidence.py::test_only_an_unresolved_field_can_block_the_forward_model,not_run,unobserved
tests/test_mast_evidence.py::test_shot_support_must_be_a_real_interval,not_run,unobserved
tests/test_mast_evidence.py::test_unresolved_field_states_what_is_missing_and_bounds_nothing,not_run,unobserved
tests/test_mast_flux_loop_adjudication.py::test_a_candidate_scored_on_no_unseen_shot_is_not_decided,not_run,unobserved
tests/test_mast_flux_loop_adjudication.py::test_a_channel_with_no_measured_scatter_is_never_called_separable,not_run,unobserved
tests/test_mast_flux_loop_adjudication.py::test_a_complementary_sensor_row_recovers_the_missing_current_direction,not_run,unobserved
tests/test_mast_flux_loop_adjudication.py::test_a_component_without_a_cross_section_cannot_be_coupled,not_run,unobserved
tests/test_mast_flux_loop_adjudication.py::test_a_fit_that_wins_in_and_out_of_sample_promotes,not_run,unobserved
tests/test_mast_flux_loop_adjudication.py::test_a_loop_the_description_does_not_carry_is_its_own_disposition,not_run,unobserved
tests/test_mast_flux_loop_adjudication.py::test_a_pair_thirty_microns_from_reflecting_is_two_measurements,not_run,unobserved
tests/test_mast_flux_loop_adjudication.py::test_a_separable_loop_with_no_fit_stays_dual_valued,not_run,unobserved
tests/test_mast_flux_loop_adjudication.py::test_a_winner_that_changes_out_of_sample_is_not_a_winner,not_run,unobserved
tests/test_mast_flux_loop_adjudication.py::test_admitted_loop_response_keeps_every_target_row,not_run,unobserved
tests/test_mast_flux_loop_adjudication.py::test_an_admitted_loop_without_a_noise_floor_is_refused,not_run,unobserved
tests/test_mast_flux_loop_adjudication.py::test_an_advantage_below_the_margin_decides_nothing,not_run,unobserved
tests/test_mast_flux_loop_adjudication.py::test_an_unseparable_displacement_is_reported_as_bounded,not_run,unobserved
tests/test_mast_flux_loop_adjudication.py::test_current_space_rank_uses_the_measured_spectral_cliff,not_run,unobserved
tests/test_mast_flux_loop_adjudication.py::test_every_described_loop_has_a_unique_position,not_run,unobserved
